Country Name,% Religious
Estonia,16.0
Sweden,16.5
Denmark,18.0
Czechia,20.5
Norway,20.5
Hong Kong,23.0
Japan,23.5
United Kingdom,26.5
Finland,28.0
France,29.5
Vietnam,29.5
Australia,32.0
The Netherlands,33.0
New Zealand,33.0
Belarus,33.0
Cuba,33.5
Russia,33.0
Albania,32.5
South Korea,32.5
Bulgaria,33.5
Latvia,39.0
Belgium,33.0
Hungary,39.0
Slovenia,47.0
Azerbaijan,49.5
Spain,49.5
Taiwan,45.0
Germany,40.5
Uruguay,40.5
Switzerland,41.5
Canada,42.0
Ukraine,45.5
Lithuania,41.5
Slovakia,46.5
Israel,49.5
Singapore,70.0
Montenegro,45.5
Serbia,50.5
Kazakhstan,43.0
Austria,55.0
Ireland,53.5
Uzbekistan,51.0
Argentina,66.0
Chile,69.5
Belize,61.5
United States of America,65.0
Kygyzstan,72.5
Moldova,71.5
Venezuela,79.0
Croatia,66.5
Greece,71.5
Armenia,72.5
Bosnia and Herzegovina,66.0
Jamaica,70.0
Mexico,72.0
Portugal,71.5
Italy,71.5
Kosovo,63.5
Cyprus,75.0
Poland,74.5
Botswana,77.0
Georgia,80.0
Haiti,75.0
Tajikistan,84.5
Macedonia,78.5
Trinidad and Tobago,92.0
Romania,84.0
Zimbabwe,87.5
Dominican Rebpublic,86.0
Ecuador,82.0
India,79.0
Iraq,86.0
Nicaragua,84.0
Iran,82.5
Costa Rica,79.0
El Salvador,83.0
Kuwait,92.5
Malaysia,95.5
Peru,83.5
Lebanon,89.5
Puerto Rico,84.5
Bolivia,88.5
Brazil,86.5
Burkina Faso,87.5
Colombia,82.5
South Africa,84.5
Algeria,93.0
Cambodia,96.0
Guatemala,88.0
Honduras,84.0
Panama,88.0
Philippines,95.5
Togo,80.0
Ethiopia,91.0
Rwanda,95.0
Mozambique,86.0
Palestinian Territories,93.0
Paraguay,91.5
Turkey,89.5
Burundi,97.5
Namibia,91.5
Tunisia,93.0
Uganda,93.0
Angola,88.0
Chad,94.0
Ghana,94.5
Madagascar,93.0
Nepal,93.0
Benin,92.5
Cameroon,95.5
Central African Republic,94.0
Liberia,94.0
Mali,94.5
Mauritania,98.0
Comoros,96.0
Nigeria,95.5
Jordan,96.5
Kenya,94.0
Sudan,94.0
Thailand,94.0
Yemen,96.0
Afghanistan,97.0
Guinea,97.0
Laos,96.5
Myanmar,96.5
Niger,100.0
Pakistan,96.5
Saudi Arabia,94.5
Zambia,97.0
C̫te d'Ivoire,88.0
Democratic Republic of the Congo,98.5
Djibouti,98.0
Malawi,98.5
Morocco,98.5
Senegal,96.5
Sierra Leone,98.0
Tanzania,96.5
United Arab Emirates,91.0
Qatar,94.5
Bahrain,95.5
Bangladesh,100.0
Indonesia,99.0
Sri Lanka,98.5
Egypt,98.0
Republic of the Congo,94.5
Somalia,98.5
